Tick 2(0), Delay 309 ms, IGT 00:00.000, RTA 00:00.-309-00:00.000, due world load
Tick 3(1), Delay 55 ms, IGT 00:00.011, RTA 00:00.-43-00:00.012
Tick 6(4), Delay 31 ms, IGT 00:00.161, RTA 00:00.115-00:00.146
Tick 7(5), Delay 67 ms, IGT 00:00.211, RTA 00:00.146-00:00.213
Tick 8(6), Delay 43 ms, IGT 00:00.261, RTA 00:00.213-00:00.256
Tick 15(13), Delay 45 ms, IGT 00:00.611, RTA 00:00.562-00:00.607
Tick 25(23), Delay 40 ms, IGT 00:01.111, RTA 00:01.057-00:01.097
Tick 27(25), Delay 68 ms, IGT 00:01.211, RTA 00:01.146-00:01.214
Tick 28(26), Delay 38 ms, IGT 00:01.261, RTA 00:01.214-00:01.252
Tick 29(27), Delay 63 ms, IGT 00:01.311, RTA 00:01.252-00:01.315
Tick 30(28), Delay 33 ms, IGT 00:01.361, RTA 00:01.315-00:01.348
Tick 31(29), Delay 66 ms, IGT 00:01.411, RTA 00:01.348-00:01.414
Tick 32(30), Delay 3558 ms, IGT 00:01.461, RTA 00:01.414-00:04.972
Tick 41(39), Delay 34 ms, IGT 00:01.911, RTA 00:05.373-00:05.407
Tick 55(53), Delay 56 ms, IGT 00:02.611, RTA 00:06.058-00:06.114
Tick 58(56), Delay 56 ms, IGT 00:02.761, RTA 00:06.212-00:06.268
Tick 59(57), Delay 55 ms, IGT 00:02.811, RTA 00:06.268-00:06.323
Tick 60(58), Delay 41 ms, IGT 00:02.861, RTA 00:06.323-00:06.364
Tick 116(114), Delay 44 ms, IGT 00:05.661, RTA 00:09.120-00:09.164
Tick 119(117), Delay 39 ms, IGT 00:05.811, RTA 00:09.266-00:09.305
Tick 121(119), Delay 55 ms, IGT 00:05.911, RTA 00:09.359-00:09.414
Tick 151(149), Delay 45 ms, IGT 00:07.411, RTA 00:10.865-00:10.910
Tick 155(153), Delay 55 ms, IGT 00:07.611, RTA 00:11.063-00:11.118
Tick 162(160), Delay 55 ms, IGT 00:07.961, RTA 00:11.413-00:11.468
Tick 185(183), Delay 79 ms, IGT 00:09.111, RTA 00:12.564-00:12.643
Tick 187(185), Delay 33 ms, IGT 00:09.211, RTA 00:12.693-00:12.726
Tick 188(186), Delay 32 ms, IGT 00:09.261, RTA 00:12.726-00:12.758
Tick 189(187), Delay 63 ms, IGT 00:09.311, RTA 00:12.758-00:12.821
Tick 193(191), Delay 62 ms, IGT 00:09.511, RTA 00:12.968-00:13.030
Tick 194(192), Delay 31 ms, IGT 00:09.561, RTA 00:13.030-00:13.061
Tick 195(193), Delay 62 ms, IGT 00:09.611, RTA 00:13.061-00:13.123
Tick 196(194), Delay 62 ms, IGT 00:09.661, RTA 00:13.123-00:13.185
Tick 197(195), Delay 31 ms, IGT 00:09.711, RTA 00:13.185-00:13.216
Tick 198(196), Delay 60 ms, IGT 00:09.761, RTA 00:13.216-00:13.276
Tick 199(197), Delay 31 ms, IGT 00:09.811, RTA 00:13.276-00:13.307
Tick 200(198), Delay 70 ms, IGT 00:09.861, RTA 00:13.307-00:13.377
Tick 201(199), Delay 31 ms, IGT 00:09.911, RTA 00:13.377-00:13.408
Tick 202(200), Delay 62 ms, IGT 00:09.961, RTA 00:13.408-00:13.470
Tick 203(201), Delay 62 ms, IGT 00:10.011, RTA 00:13.470-00:13.532
Tick 204(202), Delay 31 ms, IGT 00:10.061, RTA 00:13.532-00:13.563
Tick 205(203), Delay 63 ms, IGT 00:10.111, RTA 00:13.563-00:13.626
Tick 206(204), Delay 31 ms, IGT 00:10.161, RTA 00:13.626-00:13.657
Tick 207(205), Delay 71 ms, IGT 00:10.211, RTA 00:13.657-00:13.728
Tick 208(206), Delay 31 ms, IGT 00:10.261, RTA 00:13.728-00:13.759
Tick 209(207), Delay 62 ms, IGT 00:10.311, RTA 00:13.759-00:13.821
Tick 210(208), Delay 61 ms, IGT 00:10.361, RTA 00:13.821-00:13.882
Tick 211(209), Delay 31 ms, IGT 00:10.411, RTA 00:13.882-00:13.913
Tick 212(210), Delay 61 ms, IGT 00:10.461, RTA 00:13.913-00:13.974
Tick 213(211), Delay 61 ms, IGT 00:10.511, RTA 00:13.974-00:14.035
Tick 214(212), Delay 31 ms, IGT 00:10.561, RTA 00:14.035-00:14.066
Tick 215(213), Delay 62 ms, IGT 00:10.611, RTA 00:14.066-00:14.128
Tick 216(214), Delay 30 ms, IGT 00:10.661, RTA 00:14.128-00:14.158
Tick 217(215), Delay 62 ms, IGT 00:10.711, RTA 00:14.158-00:14.220
Tick 218(216), Delay 60 ms, IGT 00:10.761, RTA 00:14.220-00:14.280
Tick 219(217), Delay 33 ms, IGT 00:10.811, RTA 00:14.280-00:14.313
Tick 220(218), Delay 70 ms, IGT 00:10.861, RTA 00:14.313-00:14.383
Tick 221(219), Delay 31 ms, IGT 00:10.911, RTA 00:14.383-00:14.414
Tick 222(220), Delay 61 ms, IGT 00:10.961, RTA 00:14.414-00:14.475
Tick 223(221), Delay 31 ms, IGT 00:11.011, RTA 00:14.475-00:14.506
Tick 224(222), Delay 62 ms, IGT 00:11.061, RTA 00:14.506-00:14.568
Tick 225(223), Delay 62 ms, IGT 00:11.111, RTA 00:14.568-00:14.630
Tick 226(224), Delay 33 ms, IGT 00:11.161, RTA 00:14.630-00:14.663
Tick 227(225), Delay 71 ms, IGT 00:11.211, RTA 00:14.663-00:14.734
Tick 228(226), Delay 32 ms, IGT 00:11.261, RTA 00:14.734-00:14.766
Tick 229(227), Delay 62 ms, IGT 00:11.311, RTA 00:14.766-00:14.828
Tick 230(228), Delay 30 ms, IGT 00:11.361, RTA 00:14.828-00:14.858
Tick 231(229), Delay 64 ms, IGT 00:11.411, RTA 00:14.858-00:14.922
Tick 232(230), Delay 64 ms, IGT 00:11.461, RTA 00:14.922-00:14.986
Tick 233(231), Delay 31 ms, IGT 00:11.511, RTA 00:14.986-00:15.017
Tick 234(232), Delay 62 ms, IGT 00:11.561, RTA 00:15.017-00:15.079
Tick 235(233), Delay 31 ms, IGT 00:11.611, RTA 00:15.079-00:15.110
Tick 236(234), Delay 61 ms, IGT 00:11.661, RTA 00:15.110-00:15.171
Tick 237(235), Delay 60 ms, IGT 00:11.711, RTA 00:15.171-00:15.231
Tick 238(236), Delay 32 ms, IGT 00:11.761, RTA 00:15.231-00:15.263
Tick 239(237), Delay 61 ms, IGT 00:11.811, RTA 00:15.263-00:15.324
Tick 241(239), Delay 31 ms, IGT 00:11.911, RTA 00:15.378-00:15.409
Tick 242(240), Delay 62 ms, IGT 00:11.961, RTA 00:15.409-00:15.471
Tick 243(241), Delay 62 ms, IGT 00:12.011, RTA 00:15.471-00:15.533
Tick 244(242), Delay 32 ms, IGT 00:12.061, RTA 00:15.533-00:15.565
Tick 245(243), Delay 61 ms, IGT 00:12.111, RTA 00:15.565-00:15.626
Tick 246(244), Delay 30 ms, IGT 00:12.161, RTA 00:15.626-00:15.656
Tick 247(245), Delay 72 ms, IGT 00:12.211, RTA 00:15.656-00:15.728
Tick 248(246), Delay 30 ms, IGT 00:12.261, RTA 00:15.728-00:15.758
Tick 249(247), Delay 63 ms, IGT 00:12.311, RTA 00:15.758-00:15.821
Tick 250(248), Delay 61 ms, IGT 00:12.361, RTA 00:15.821-00:15.882
Tick 251(249), Delay 32 ms, IGT 00:12.411, RTA 00:15.882-00:15.914
Tick 252(250), Delay 62 ms, IGT 00:12.461, RTA 00:15.914-00:15.976
Tick 253(251), Delay 31 ms, IGT 00:12.511, RTA 00:15.976-00:16.007
Tick 254(252), Delay 62 ms, IGT 00:12.561, RTA 00:16.007-00:16.069
Tick 255(253), Delay 62 ms, IGT 00:12.611, RTA 00:16.069-00:16.131
Tick 256(254), Delay 30 ms, IGT 00:12.661, RTA 00:16.131-00:16.161
Tick 257(255), Delay 63 ms, IGT 00:12.711, RTA 00:16.161-00:16.224
Tick 258(256), Delay 32 ms, IGT 00:12.761, RTA 00:16.224-00:16.256
Tick 259(257), Delay 64 ms, IGT 00:12.811, RTA 00:16.256-00:16.320
Tick 260(258), Delay 56 ms, IGT 00:12.861, RTA 00:16.320-00:16.376
Tick 261(259), Delay 32 ms, IGT 00:12.911, RTA 00:16.376-00:16.408
Tick 262(260), Delay 62 ms, IGT 00:12.961, RTA 00:16.408-00:16.470
Tick 263(261), Delay 61 ms, IGT 00:13.011, RTA 00:16.470-00:16.531
Tick 264(262), Delay 31 ms, IGT 00:13.061, RTA 00:16.531-00:16.562
Tick 265(263), Delay 64 ms, IGT 00:13.111, RTA 00:16.562-00:16.626
Tick 266(264), Delay 31 ms, IGT 00:13.161, RTA 00:16.626-00:16.657
Tick 267(265), Delay 71 ms, IGT 00:13.211, RTA 00:16.657-00:16.728
Tick 268(266), Delay 31 ms, IGT 00:13.261, RTA 00:16.728-00:16.759
Tick 269(267), Delay 62 ms, IGT 00:13.311, RTA 00:16.759-00:16.821
Tick 270(268), Delay 62 ms, IGT 00:13.361, RTA 00:16.821-00:16.883
Tick 271(269), Delay 31 ms, IGT 00:13.411, RTA 00:16.883-00:16.914
Tick 272(270), Delay 61 ms, IGT 00:13.461, RTA 00:16.914-00:16.975
Tick 273(271), Delay 30 ms, IGT 00:13.511, RTA 00:16.975-00:17.005
Tick 274(272), Delay 65 ms, IGT 00:13.561, RTA 00:17.005-00:17.070
Tick 275(273), Delay 62 ms, IGT 00:13.611, RTA 00:17.070-00:17.132
Tick 276(274), Delay 31 ms, IGT 00:13.661, RTA 00:17.132-00:17.163
Tick 277(275), Delay 62 ms, IGT 00:13.711, RTA 00:17.163-00:17.225
Tick 278(276), Delay 31 ms, IGT 00:13.761, RTA 00:17.225-00:17.256
Tick 279(277), Delay 61 ms, IGT 00:13.811, RTA 00:17.256-00:17.317
Tick 280(278), Delay 59 ms, IGT 00:13.861, RTA 00:17.317-00:17.376
Tick 281(279), Delay 31 ms, IGT 00:13.911, RTA 00:17.376-00:17.407
Tick 282(280), Delay 62 ms, IGT 00:13.961, RTA 00:17.407-00:17.469
Tick 283(281), Delay 63 ms, IGT 00:14.011, RTA 00:17.469-00:17.532
Tick 284(282), Delay 31 ms, IGT 00:14.061, RTA 00:17.532-00:17.563
Tick 285(283), Delay 61 ms, IGT 00:14.111, RTA 00:17.563-00:17.624
Tick 286(284), Delay 62 ms, IGT 00:14.161, RTA 00:17.624-00:17.686
Tick 287(285), Delay 31 ms, IGT 00:14.211, RTA 00:17.686-00:17.717
Tick 288(286), Delay 39 ms, IGT 00:14.261, RTA 00:17.717-00:17.756
Tick 289(287), Delay 62 ms, IGT 00:14.311, RTA 00:17.756-00:17.818
Tick 290(288), Delay 62 ms, IGT 00:14.361, RTA 00:17.818-00:17.880
Tick 291(289), Delay 31 ms, IGT 00:14.411, RTA 00:17.880-00:17.911
Tick 292(290), Delay 63 ms, IGT 00:14.461, RTA 00:17.911-00:17.974
Tick 293(291), Delay 61 ms, IGT 00:14.511, RTA 00:17.974-00:18.035
Tick 294(292), Delay 32 ms, IGT 00:14.561, RTA 00:18.035-00:18.067
Tick 295(293), Delay 62 ms, IGT 00:14.611, RTA 00:18.067-00:18.129
Tick 296(294), Delay 31 ms, IGT 00:14.661, RTA 00:18.129-00:18.160
Tick 297(295), Delay 63 ms, IGT 00:14.711, RTA 00:18.160-00:18.223
Tick 298(296), Delay 61 ms, IGT 00:14.761, RTA 00:18.223-00:18.284
Tick 299(297), Delay 32 ms, IGT 00:14.811, RTA 00:18.284-00:18.316
Tick 300(298), Delay 60 ms, IGT 00:14.861, RTA 00:18.316-00:18.376
Tick 301(299), Delay 32 ms, IGT 00:14.911, RTA 00:18.376-00:18.408
Tick 302(300), Delay 62 ms, IGT 00:14.961, RTA 00:18.408-00:18.470
Tick 303(301), Delay 64 ms, IGT 00:15.011, RTA 00:18.470-00:18.534
Tick 304(302), Delay 31 ms, IGT 00:15.061, RTA 00:18.534-00:18.565
Tick 305(303), Delay 62 ms, IGT 00:15.111, RTA 00:18.565-00:18.627
Tick 306(304), Delay 31 ms, IGT 00:15.161, RTA 00:18.627-00:18.658
Tick 307(305), Delay 62 ms, IGT 00:15.211, RTA 00:18.658-00:18.720
Tick 308(306), Delay 65 ms, IGT 00:15.261, RTA 00:18.720-00:18.785
Tick 309(307), Delay 33 ms, IGT 00:15.311, RTA 00:18.785-00:18.818
Tick 310(308), Delay 61 ms, IGT 00:15.361, RTA 00:18.818-00:18.879
Tick 311(309), Delay 32 ms, IGT 00:15.411, RTA 00:18.879-00:18.911
Tick 312(310), Delay 61 ms, IGT 00:15.461, RTA 00:18.911-00:18.972
Tick 313(311), Delay 62 ms, IGT 00:15.511, RTA 00:18.972-00:19.034
Tick 314(312), Delay 31 ms, IGT 00:15.561, RTA 00:19.034-00:19.065
Tick 315(313), Delay 66 ms, IGT 00:15.611, RTA 00:19.065-00:19.131
Tick 316(314), Delay 30 ms, IGT 00:15.661, RTA 00:19.131-00:19.161
Tick 317(315), Delay 61 ms, IGT 00:15.711, RTA 00:19.161-00:19.222
Tick 318(316), Delay 62 ms, IGT 00:15.761, RTA 00:19.222-00:19.284
Tick 319(317), Delay 31 ms, IGT 00:15.811, RTA 00:19.284-00:19.315
Tick 320(318), Delay 69 ms, IGT 00:15.861, RTA 00:19.315-00:19.384
Tick 321(319), Delay 31 ms, IGT 00:15.911, RTA 00:19.384-00:19.415
Tick 322(320), Delay 62 ms, IGT 00:15.961, RTA 00:19.415-00:19.477
Tick 323(321), Delay 33 ms, IGT 00:16.011, RTA 00:19.477-00:19.510
Tick 324(322), Delay 61 ms, IGT 00:16.061, RTA 00:19.510-00:19.571
Tick 325(323), Delay 63 ms, IGT 00:16.111, RTA 00:19.571-00:19.634
Tick 326(324), Delay 32 ms, IGT 00:16.161, RTA 00:19.634-00:19.666
Tick 327(325), Delay 42 ms, IGT 00:16.211, RTA 00:19.666-00:19.708
Tick 338(336), Delay 252679 ms, IGT 00:16.761, RTA 00:20.212-04:32.891
Tick 339(337), Delay 44 ms, IGT 00:16.811, RTA 04:32.891-04:32.935
Tick 362(360), Delay 55 ms, IGT 00:17.961, RTA 04:34.035-04:34.090
Tick 371(369), Delay 56 ms, IGT 00:18.411, RTA 04:34.490-04:34.546
Tick 372(370), Delay 45 ms, IGT 00:18.461, RTA 04:34.546-04:34.591
